date,open,high,low,close,volume,average,barCount
2023-08-24,372.64,372.74,361.01,361.22,50864977.0,365.523,260267
2023-08-25,362.07,365.74,358.58,364.02,53401850.0,362.31,282442
2023-08-28,366.99,367.71,364.25,366.76,33045260.0,365.861,163735
2023-08-29,366.56,375.13,366.23,374.77,44110543.0,372.577,230453
2023-08-30,374.89,377.45,373.86,376.86,31340298.0,376.183,160533
2023-08-31,376.94,379.72,376.86,377.99,25310353.0,378.498,128395
2023-09-01,380.4,380.83,376.08,377.59,26988473.0,377.72,141932
2023-09-05,376.77,379.31,375.83,378.07,24052990.0,377.861,119068
2023-09-06,377.28,377.63,372.7,374.74,33356227.0,374.586,181425
2023-09-07,370.19,372.85,369.15,372.06,35176383.0,371.179,185036
2023-09-08,372.01,374.85,371.6,372.58,26001322.0,373.209,140253
2023-09-11,375.66,377.49,373.66,376.97,27597145.0,375.488,152836
2023-09-12,375.28,376.68,372.5,372.79,28358671.0,374.198,148230
2023-09-13,373.03,375.84,371.88,374.21,30574697.0,374.248,176525
2023-09-14,375.97,378.27,373.89,377.27,30414885.0,376.703,181059
2023-09-15,375.91,376.32,369.86,370.81,42070553.0,371.816,243742
2023-09-18,369.32,371.79,369.03,370.66,23941161.0,370.621,133139
2023-09-19,369.32,370.63,366.8,369.87,27266719.0,368.645,153802
2023-09-20,370.95,371.31,364.46,364.54,35541996.0,368.282,194348
2023-09-21,360.8,361.6,357.69,357.86,49791866.0,359.879,296165
2023-09-22,359.63,361.8,357.59,357.91,37101095.0,359.678,219232
2023-09-25,356.93,359.7,355.93,359.61,29926439.0,358.188,177025
2023-09-26,356.99,357.54,353.21,354.21,40812400.0,355.08,226126
2023-09-27,355.38,356.98,351.36,355.04,42669261.0,354.425,243124
2023-09-28,354.1,360.17,353.24,358.01,40250518.0,357.125,229725
2023-09-29,361.54,362.95,357.02,358.27,44935101.0,359.764,250058
2023-10-02,358.54,362.68,357.92,361.26,38497487.0,360.023,222933
2023-10-03,358.78,361.01,353.27,354.92,47552080.0,355.946,284470
2023-10-04,355.76,360.61,355.3,359.75,39389220.0,358.034,230732
2023-10-05,359.74,360.15,355.14,358.69,33886427.0,357.544,182126
2023-10-06,355.65,365.91,354.85,364.7,55274069.0,361.354,322407
2023-10-09,362.3,367.11,360.78,366.56,34646727.0,364.223,186935
2023-10-10,366.91,371.28,366.39,368.59,36095158.0,369.146,204025
2023-10-11,369.94,371.42,368.19,371.22,27997441.0,369.914,154013
2023-10-12,371.73,373.74,367.5,369.93,38162917.0,370.849,216265
2023-10-13,370.56,371.16,363.86,365.28,40153159.0,366.485,213161
2023-10-16,366.63,370.48,366.47,369.41,32227003.0,369.081,179519
2023-10-17,365.81,369.92,363.66,368.2,39365565.0,367.346,221450
