date,open,high,low,close,volume,average,barCount
2023-08-24,15.57,17.32,15.48,17.2,0.0,0.0,1723
2023-08-25,17.21,17.36,15.45,15.68,0.0,0.0,1747
2023-08-28,16.24,16.28,15.0,15.08,0.0,0.0,1473
2023-08-29,15.08,15.3,14.34,14.45,0.0,0.0,1362
2023-08-30,14.53,14.7,13.83,13.88,0.0,0.0,1368
2023-08-31,13.98,14.0,13.44,13.57,0.0,0.0,1320
2023-09-01,13.56,13.82,13.02,13.82,0.0,0.0,1363
2023-09-05,14.15,14.47,13.7,14.01,0.0,0.0,1292
2023-09-06,14.27,15.3,14.13,14.45,0.0,0.0,1461
2023-09-07,14.81,15.69,14.4,14.4,0.0,0.0,1649
2023-09-08,14.22,14.87,13.58,13.84,0.0,0.0,1599
2023-09-11,14.17,14.33,13.74,13.8,0.0,0.0,1191
2023-09-12,14.02,14.42,13.71,14.23,0.0,0.0,1313
2023-09-13,14.42,14.68,13.41,13.48,0.0,0.0,1466
2023-09-14,13.39,13.46,12.79,12.82,0.0,0.0,1223
2023-09-15,12.7,14.17,12.68,13.79,0.0,0.0,1424
2023-09-18,14.4,14.75,13.86,14.0,0.0,0.0,1434
2023-09-19,14.11,14.88,13.86,14.11,0.0,0.0,1413
2023-09-20,14.18,15.15,13.57,15.14,0.0,0.0,1445
2023-09-21,15.49,17.54,15.1,17.54,0.0,0.0,1899
2023-09-22,17.31,17.41,15.93,17.2,0.0,0.0,1938
2023-09-25,17.25,18.41,16.79,16.9,0.0,0.0,2004
2023-09-26,18.03,19.5,17.17,18.94,0.0,0.0,1899
2023-09-27,18.29,19.71,18.03,18.22,0.0,0.0,1878
2023-09-28,18.22,18.77,17.06,17.34,0.0,0.0,1969
2023-09-29,16.87,17.74,15.83,17.52,0.0,0.0,1873
2023-10-02,17.31,18.55,16.93,17.61,0.0,0.0,1891
2023-10-03,17.81,20.48,17.52,19.78,0.0,0.0,2017
2023-10-04,20.72,20.88,18.3,18.58,0.0,0.0,2052
2023-10-05,18.67,19.58,18.26,18.49,0.0,0.0,1878
2023-10-06,18.73,19.93,17.19,17.45,0.0,0.0,1735
2023-10-09,19.54,19.6,17.56,17.7,0.0,0.0,1752
2023-10-10,17.7,17.86,16.51,17.03,0.0,0.0,1577
2023-10-11,16.95,17.78,16.09,16.09,0.0,0.0,1661
2023-10-12,16.08,18.08,15.44,16.69,0.0,0.0,1756
2023-10-13,16.53,20.78,16.5,19.32,0.0,0.0,2254
2023-10-16,19.1,19.57,17.14,17.21,0.0,0.0,2051
2023-10-17,17.41,18.54,16.97,17.88,0.0,0.0,2046
2023-10-18,18.36,20.15,17.88,19.22,0.0,0.0,2235
2023-10-19,19.73,21.4,18.55,21.4,0.0,0.0,2410
2023-10-20,21.59,21.83,20.42,21.71,0.0,0.0,2342
2023-10-23,21.83,23.08,19.48,20.37,0.0,0.0,2186
2023-10-24,20.03,20.24,18.65,18.97,0.0,0.0,1856
2023-10-25,19.39,21.24,18.86,20.19,0.0,0.0,1775
2023-10-26,21.78,21.96,20.22,20.68,0.0,0.0,2199
2023-10-27,20.39,22.07,19.72,21.27,0.0,0.0,2015
2023-10-30,21.13,21.16,19.55,19.75,0.0,0.0,1803
2023-10-31,19.86,19.86,17.97,18.14,0.0,0.0,1701
2023-11-01,18.02,18.42,16.63,16.87,0.0,0.0,1785
2023-11-02,16.59,16.62,15.58,15.66,0.0,0.0,1342
2023-11-03,15.7,15.83,14.91,14.91,0.0,0.0,1372
2023-11-06,15.39,15.58,14.84,14.89,0.0,0.0,1188
2023-11-07,15.1,15.17,14.71,14.81,0.0,0.0,1182
2023-11-08,14.91,15.09,14.3,14.45,0.0,0.0,1168
2023-11-09,14.61,15.57,14.13,15.29,0.0,0.0,1420
2023-11-10,15.09,15.45,14.16,14.17,0.0,0.0,1517
2023-11-13,15.16,15.19,14.58,14.76,0.0,0.0,1181
2023-11-14,14.83,14.86,13.91,14.16,0.0,0.0,1072
2023-11-15,14.21,14.35,13.97,14.18,0.0,0.0,1102
2023-11-16,14.12,14.42,13.68,14.32,0.0,0.0,1307
2023-11-17,14.18,14.19,13.67,13.8,0.0,0.0,1100
2023-11-20,14.26,14.31,13.39,13.41,0.0,0.0,855
2023-11-21,13.45,14.31,13.13,13.35,0.0,0.0,841
2023-11-22,13.08,13.25,12.8,12.8,0.0,0.0,915
2023-11-24,13.03,13.17,12.45,12.48,0.0,0.0,477
2023-11-27,13.14,13.28,12.64,12.69,0.0,0.0,805
2023-11-28,12.78,14.3,12.56,12.69,0.0,0.0,854
2023-11-29,12.71,13.1,12.48,12.98,0.0,0.0,1038
2023-11-30,13.07,13.39,12.82,12.92,0.0,0.0,1259
2023-12-01,12.94,12.96,12.48,12.63,0.0,0.0,981
2023-12-04,13.28,13.7,12.98,13.08,0.0,0.0,921
2023-12-05,13.26,13.76,12.81,12.85,0.0,0.0,1015
2023-12-06,12.78,13.03,12.64,12.97,0.0,0.0,955
2023-12-07,13.17,13.28,12.95,13.06,0.0,0.0,866
2023-12-08,13.14,13.24,12.35,12.35,0.0,0.0,776
2023-12-11,13.05,13.14,12.61,12.63,0.0,0.0,689
2023-12-12,12.69,12.74,11.81,12.07,0.0,0.0,736
2023-12-13,12.2,12.46,11.82,12.19,0.0,0.0,749
2023-12-14,11.96,12.74,11.84,12.48,0.0,0.0,1009
2023-12-15,12.12,12.54,12.01,12.28,0.0,0.0,982
2023-12-18,12.62,12.64,12.4,12.56,0.0,0.0,715
2023-12-19,12.6,12.6,12.33,12.53,0.0,0.0,655
2023-12-20,12.63,13.93,12.29,13.67,0.0,0.0,862
2023-12-21,13.4,14.49,13.34,13.65,0.0,0.0,1338
2023-12-22,13.72,13.96,13.0,13.03,0.0,0.0,829
2023-12-26,13.77,13.8,12.96,12.99,0.0,0.0,486
2023-12-27,13.02,13.04,12.37,12.43,0.0,0.0,669
2023-12-28,12.44,12.65,12.38,12.47,0.0,0.0,598
2023-12-29,12.55,13.19,12.36,12.45,0.0,0.0,852
2024-01-02,13.22,14.23,13.1,13.2,0.0,0.0,1187
2024-01-03,13.35,14.22,13.33,14.04,0.0,0.0,1284
2024-01-04,13.93,14.2,13.64,14.13,0.0,0.0,1370
2024-01-05,14.24,14.58,13.29,13.35,0.0,0.0,1393
2024-01-08,14.0,14.18,13.02,13.08,0.0,0.0,1109
2024-01-09,13.2,13.45,12.74,12.76,0.0,0.0,994
2024-01-10,12.86,12.95,12.67,12.69,0.0,0.0,935
2024-01-11,12.64,13.31,12.35,12.44,0.0,0.0,1236
2024-01-12,12.66,13.25,12.47,13.25,0.0,0.0,1375
2024-01-16,14.12,14.35,13.52,13.84,0.0,0.0,1639
